Date,DHC,FMC,REE
20190425,18.0725,18.6443,18.9288
20190426,17.9403,18.7441,19.1091
20190502,17.8962,18.9106,19.2293
20190503,17.6318,18.7108,19.1992
20190506,17.4334,18.3113,18.6284
20190507,17.5216,18.3446,18.5983
20190508,17.6758,18.2447,18.9889
20190509,17.4114,18.3113,19.1692
20190510,17.6318,18.4778,19.2894
20190513,17.235,18.9106,19.5298
20190514,17.191,18.9106,19.8002
20190515,17.5877,18.9106,19.8302
20190516,17.191,18.7108,19.7701
20190517,17.191,18.7774,19.71
20190520,17.191,18.6443,20.1607
20190521,17.8522,18.8773,20.0405
20190522,18.0285,18.8773,19.8002
20190523,18.0285,19.0105,19.8603
20190524,18.2929,19.2768,19.7701
20190527,18.0505,18.9106,19.5898
20190528,18.0725,18.9772,19.4997
20190529,18.2929,18.7774,19.5598
20190530,18.6015,18.8773,19.8302
20190531,18.4252,18.844,19.5298
20190603,18.0725,18.5111,18.9288
20190604,18.1607,18.6443,19.1992
20190605,17.9844,18.7441,19.2293
20190606,18.1166,18.5777,19.2293
20190607,18.2489,18.844,19.5898
20190610,18.337,18.9772,19.4396
20190611,18.9541,18.9772,19.6499
20190612,19.1525,18.9106,19.3495
20190613,19.1525,18.844,19.2593
20190614,19.1525,18.7774,19.1392
20190617,18.9982,18.7774,18.9589
20190618,18.9101,18.7108,18.9889
20190619,18.9101,18.8773,19.1392
20190620,18.9101,19.0438,19.3194
20190621,18.7558,19.0105,19.3795
20190624,18.6015,19.0438,19.3194
20190625,18.6897,19.1104,19.0791
20190626,19.1084,19.6764,19.2293
20190627,18.9101,19.4433,19.019
20190628,18.9541,19.4433,19.0791
20190701,19.0423,19.4433,19.2293
20190702,18.9541,19.5099,19.3495
20190703,18.888,19.5765,19.8603
20190704,19.0423,19.4433,20.0405
20190705,19.5272,19.5099,20.0405
20190708,19.5272,19.5099,20.1307
20190709,19.5492,19.5099,20.1607
20190710,19.4831,19.5099,20.5213
20190711,19.439,19.4433,20.3109
20190712,19.3729,19.7429,20.2509
20190715,19.3729,20.3422,20.4311
20190716,19.3729,20.2756,20.2208
20190717,19.3068,19.976,20.1307
20190718,19.1966,19.7762,20.0105
20190719,19.3075,19.8428,19.8603
20190722,18.6199,19.9094,19.7401
20190723,18.4612,19.7762,20.1908
20190724,18.1438,19.7096,20.0405
20190725,18.5141,19.976,19.9804
20190726,18.5141,19.976,19.68
20190729,18.5141,19.9427,19.5898
20190730,18.5141,19.9427,19.5898
20190731,19.0431,19.976,19.68
20190801,18.9637,20.1092,20.0105
20190802,18.8579,19.9427,19.8302
20190805,18.7257,20.1092,19.5298
20190806,18.4612,19.7096,19.2593
20190807,18.4612,19.976,19.1692
20190808,18.3818,19.9094,20.4311
20190809,18.3818,19.8428,20.6715
20190812,17.7206,20.6086,20.9119
20190813,17.6677,20.6086,21.633
20190814,17.1916,20.8749,21.5729
20190815,17.1916,20.3755,21.9635
20190816,16.9272,20.1092,22.5644
20190819,16.9272,20.0426,22.5343
20190820,16.8214,20.4421,22.2339
20190821,17.4297,20.0426,22.3541
20190822,17.1916,21.3743,22.0536
20190823,17.1388,21.0414,21.8132
20190826,16.9272,21.7844,21.8132
20190827,16.9272,21.0911,21.9334
20190828,16.3453,21.0911,21.8733
20190829,16.3453,20.4343,21.8433
20190830,16.9007,20.8722,22.0236
20190903,16.2395,20.5803,22.1738
20190904,16.1337,20.2883,21.633
20190905,16.1866,19.9234,21.2123
20190906,16.3982,19.7775,21.3625
20190909,16.9007,19.741,21.1823
20190910,17.4561,19.8505,21.032
20190911,17.509,19.7775,21.693
20190912,17.9322,19.7045,22.324
20190913,17.7735,19.4126,22.294
20190916,17.6148,19.7045,21.9935
20190917,17.6677,19.7775,22.0536
20190918,18.0909,19.9234,22.3541
20190919,18.3818,19.7045,22.3541
20190920,18.4083,19.5585,23.3155
20190923,18.5141,19.6315,22.8348
20190924,18.7257,19.5585,22.9249
20190925,18.567,19.5585,23.7362
20190926,18.3025,19.5221,23.8263
20190927,18.038,19.4856,23.4357
20190930,17.7735,19.7775,22.9249
20191001,18.1174,19.9234,23.5559
20191002,18.1438,19.7045,22.8648
20191003,18.3025,19.7045,23.1953
20191004,18.3554,19.6315,22.4742
20191007,18.1438,19.7045,22.2339
20191008,17.9851,19.7775,22.8348
20191009,18.4612,19.7775,23.1352
20191010,18.3025,19.9599,22.7146
20191011,18.5934,20.0329,22.7146
20191014,18.4612,20.3978,22.8348
20191015,18.5141,20.2519,22.6545
20191016,18.5141,20.2883,22.2639
20191017,18.4612,20.2883,21.9334
20191018,18.5141,20.1424,22.0836
20191021,18.4083,20.3248,22.0536
20191022,18.3554,20.4343,21.663
20191023,18.4612,20.4343,21.8132
20191024,18.4083,20.5073,22.0536
20191025,18.5141,20.0694,22.2339
20191028,18.7257,20.1059,21.9935
20191029,18.6728,19.9964,22.8047
20191030,18.6992,19.887,22.6545
20191031,19.2546,19.9964,22.5343
20191101,19.9423,19.814,22.6245
20191104,20.2861,19.668,23.0151
20191105,20.0481,19.6315,22.7747
20191106,20.101,19.668,22.7747
20191107,19.8894,19.7045,23.1352
20191108,20.63,19.7045,22.8949
20191111,20.7358,19.7775,22.6245
20191112,21.0532,19.741,22.5944
20191113,21.0796,19.7775,22.5944
20191114,20.3655,19.8505,22.1437
20191115,20.5242,19.887,22.294
20191118,20.4713,19.814,22.4442
20191119,20.2861,19.887,22.8348
20191120,21.0267,19.887,22.6545
20191121,21.0267,19.887,22.3841
20191122,20.7887,19.7045,22.0536
20191125,20.8945,19.7045,21.8132
20191126,20.868,19.741,21.9334
20191127,20.8945,19.887,21.7832
20191128,20.7887,19.8505,21.5729
20191129,21.0003,19.8505,21.7231
20191202,21.8466,19.814,21.5128
20191203,22.2169,19.6315,21.4527
20191204,22.3227,19.4126,21.8132
20191205,22.2169,19.4856,21.633
20191206,22.4814,19.4856,21.633
20191209,23.0368,19.6315,21.7832
20191210,22.5343,19.4491,21.9935
20191211,22.3227,19.5221,22.1137
20191212,21.6879,19.4856,22.1437
20191213,20.7887,19.5221,21.9334
20191216,21.0003,19.5221,21.9935
20191217,20.9738,19.7045,21.633
20191218,20.5242,20.0329,21.5729
20191219,20.63,20.1059,21.5128
20191220,20.6564,20.2154,21.5128
20191223,20.4184,20.2154,21.3325
20191224,20.8798,20.1789,21.5729
20191225,20.201,20.2154,21.3926
20191226,20.201,20.0329,21.3325
20191227,20.0924,20.2154,21.5729
20191230,20.5812,20.5636,22.0236
20191231,20.5812,20.4479,21.8132
20200102,20.5812,20.525,22.2038
20200103,20.4182,20.1392,21.9334
20200106,20.201,20.2936,21.9034
20200107,19.7666,20.0621,22.0236
20200108,19.6037,19.7534,21.4527
20200109,19.8209,19.9078,21.4527
20200110,20.0653,20.0235,21.4527
20200113,20.0381,19.9849,21.4827
20200114,20.0924,19.8306,21.5128
20200115,20.5269,19.792,21.3625
20200116,21.5043,19.792,21.8733
20200117,21.3686,19.792,21.9334
20200120,21.3957,19.7534,22.0836
20200121,21.7215,20.0621,22.4141
20200122,22.3732,20.1392,22.2339
20200130,22.3189,19.9849,21.5128
20200131,21.45,19.6763,20.371
20200203,21.7215,19.1361,20.1307
20200204,21.1785,19.1361,20.0706
20200205,21.1242,19.2905,20.0105
20200206,21.1785,19.2519,20.4311
20200207,21.0699,19.2133,20.371
20200210,20.6355,19.0976,20.1607
20200211,20.7984,19.059,20.5814
20200212,20.9341,19.0976,20.8818
20200213,20.7441,19.5219,20.9119
20200214,20.201,19.4448,21.1222
20200217,19.9024,19.2905,21.032
20200218,20.0924,19.059,21.0921
20200219,20.3096,19.1361,21.1222
20200220,20.3911,19.3676,21.4226
20200221,20.3911,19.1361,21.032
20200224,19.9295,18.596,20.2208
20200225,19.9295,18.6732,20.5814
20200226,19.5222,18.3645,20.4912
20200227,19.8209,18.2874,20.7917
20200228,19.5765,17.8244,20.4912
20200302,20.0924,17.7472,20.4592
20200303,20.907,17.7858,20.4277
20200304,20.8798,17.8244,20.4277
20200305,21.3957,17.9015,20.3016
20200306,21.7487,17.9787,20.1755
20200309,20.3096,16.7441,18.8515
20200310,20.907,16.9756,19.1037
20200311,20.6898,16.4355,18.82
20200312,20.1467,15.3166,17.6536
20200313,20.8527,14.6607,17.7797
20200316,20.1467,15.278,17.6851
20200317,19.3593,15.3552,18.8515
20200318,18.952,15.7024,19.1037
20200319,18.4633,14.9694,18.7885
20200320,18.4633,14.9694,18.7885
20200323,17.1872,13.9277,17.496
20200324,17.3772,13.5033,17.7797
20200325,18.5176,14.1978,18.4102
20200326,17.8117,13.812,17.8743
20200327,17.7574,13.3876,17.6536
20200330,16.8342,12.5002,17.2753
20200331,17.3772,12.3073,17.2122
20200401,17.6759,12.6545,17.8427
20200403,17.7845,13.5033,18.1895
20200406,18.3547,14.4293,19.0407
20200407,18.3004,15.4324,18.9146
20200408,18.4633,15.8953,18.7885
20200409,19.0226,15.8182,18.82
20200410,19.3583,15.3938,19.1352
20200413,19.3862,15.3938,19.1668
20200414,19.2464,15.6639,19.1983
20200415,19.1624,16.4355,19.545
20200416,19.1624,16.3583,19.4189
20200417,20.0856,16.8984,19.545
20200420,20.3653,17.5157,19.4505
20200421,20.3653,16.3197,18.4732
20200422,20.0296,16.7441,18.5678
20200423,20.1975,16.9756,18.5993
20200424,20.1695,16.9756,19.2928
20200427,20.4772,17.2842,19.2298
20200428,20.701,17.5157,19.1352
20200429,21.2605,17.6315,18.9146
20200504,20.8409,18.133,18.6624
20200505,20.9808,18.133,18.9146
20200506,20.8689,18.4803,19.1668
20200507,21.2046,18.7117,19.2928
20200508,20.8689,18.9818,19.2928
20200511,20.8969,19.3676,19.3559
20200512,20.9808,20.2164,19.7342
20200513,21.1486,20.6408,20.1755
20200514,20.8129,20.255,20.144
20200515,20.9808,19.9849,19.7972
20200518,20.9248,19.7148,19.7657
20200519,20.1975,20.3707,19.8288
20200520,19.9457,20.6022,19.7972
20200521,20.4213,20.4479,20.0494
20200522,20.1975,20.3707,19.6711
20200525,20.1136,20.6794,19.6711
20200526,20.8129,20.9109,20.4908
20200527,20.4772,21.0266,19.8918
20200528,20.701,20.8337,19.8288
20200529,20.5891,20.6022,19.7027
20200601,20.3094,20.4479,19.9864
20200602,20.5612,20.6022,19.9549
20200603,20.4772,20.6022,19.9864
20200604,20.1136,20.6794,20.1755
20200605,19.8618,22.1069,20.1755
20200608,20.2534,23.11,20.2701
20200609,19.9737,22.7627,20.144
20200610,20.1415,22.3383,20.144
20200611,19.5821,20.7951,19.2298
20200612,19.3023,20.6408,19.4189
20200615,18.7988,20.2164,19.0722
20200616,19.0226,21.2195,19.3559
20200617,19.4142,22.2226,19.3244
20200618,19.638,22.2226,19.482
20200619,19.3023,23.38,19.7972
20200622,19.1345,23.7658,19.7027
20200623,19.0785,23.5729,19.7657
20200624,19.3862,23.1485,19.7657
20200625,19.4142,22.7627,19.6081
20200626,19.694,22.2612,19.6711
20200629,19.0226,21.0652,19.3559
20200630,19.3303,20.6641,19.3244
20200701,19.8898,20.9844,19.4505
20200702,21.2046,21.1046,19.5135
20200703,20.701,21.0645,20.0179
20200706,20.2534,21.3849,20.144
20200707,19.8618,21.7854,20.081
20200708,21.2325,21.6652,20.1755
20200709,22.7152,21.9856,20.2386
20200710,23.2187,21.9856,20.1755
20200713,23.4705,21.9455,20.743
20200714,24.058,21.7854,20.743
20200715,23.2187,22.1057,20.8375
20200716,23.8621,22.0256,20.8691
20200717,24.03,22.7064,20.5853
20200720,23.7223,21.8655,20.4277
20200721,23.3027,22.0256,20.5853
20200722,23.3586,21.9455,20.3962
20200723,24.3377,21.7053,21.1843
20200724,23.4985,20.7441,20.4908
20200727,22.2676,19.3025,19.9864
20200728,23.3027,20.3837,20.3647
20200729,22.939,19.2224,20.1755
20200730,22.967,19.8631,20.4592
20200731,22.5473,19.6228,20.4592
20200803,23.2747,20.1835,21.2474
20200804,23.4705,20.9844,21.2474
20200805,24.8412,21.1446,21.4995
20200806,25.1769,21.3048,21.5311
20200807,25.3448,21.6252,21.8148
20200810,24.6734,21.9055,21.7833
20200811,25.065,21.8655,21.7517
20200812,24.8972,21.6252,21.7833
20200813,25.5686,21.9055,22.2561
20200814,25.1769,21.6252,22.2561
20200817,25.065,22.1858,22.067
20200818,24.7853,22.9067,22.2246
20200819,25.4007,22.8666,22.2561
20200820,25.3448,22.4261,22.2561
20200821,25.5686,22.5863,22.4453
20200824,25.7084,23.1469,22.6659
20200825,25.3168,22.7064,23.2334
20200826,25.4567,22.6664,22.9812
20200827,25.121,23.7076,23.1703
20200828,24.8412,23.3872,23.2334
20200831,24.5055,23.227,23.2649
20200901,24.9252,24.7889,23.328
20200903,24.8972,25.3495,23.6432
20200904,25.121,25.9502,23.5171
20200907,24.8412,25.4697,23.0758
20200908,24.9531,26.1104,23.1388
20200909,26.1281,26.3507,23.4225
20200910,26.0721,25.6298,24.5889
20200911,26.0162,26.5109,24.3998
20200914,25.7924,27.3518,24.7781
20200915,25.9602,27.2317,24.5574
20200916,26.0162,26.7912,24.5889
20200917,26.184,26.3106,25.1564
20200918,25.9602,26.3507,25.4086
20200921,25.5126,26.2706,25.4716
20200922,25.1769,28.0326,25.4716
20200923,24.8972,27.7924,25.2509
20200924,25.065,27.472,25.4716
20200925,25.7924,27.3919,25.4716
20200928,25.6805,28.1928,25.4086
20200929,25.2329,27.3919,25.1879
20200930,25.4567,27.3518,25.3455
20201001,25.5126,27.3518,26.3543
20201002,25.1769,26.9113,25.314
20201005,25.3728,27.2317,26.4489
20201006,25.7364,27.3919,26.2912
20201007,25.6245,27.3919,26.0706
20201008,25.6245,26.9113,26.1336
20201009,25.5686,26.8713,26.4804
20201012,25.4847,26.2305,26.2912
20201013,25.4847,26.671,26.2597
20201014,25.4567,25.9102,25.9129
20201015,25.1769,25.2294,26.3543
20201016,25.3448,24.8289,26.2282
20201019,25.2888,24.4284,26.2282
20201020,25.8203,25.2294,26.2282
20201021,25.7364,25.0692,26.3543
20201022,26.0721,24.8289,26.3858
20201023,27.303,25.0692,26.4804
20201026,26.9673,25.5497,26.4173
20201027,26.5757,25.0291,26.4173
20201028,25.7364,24.068,26.3228
20201029,25.8203,23.9879,26.2282
20201030,25.9602,24.1882,26.4173
20201102,26.3519,24.2683,26.1967
20201103,26.9113,24.3884,26.6065
20201104,27.1351,25.1493,26.4173
20201105,26.7994,25.3095,26.3543
20201106,26.8554,25.5898,26.4173
20201109,27.4988,26.7511,26.5119
20201110,27.4988,26.1905,26.6695
20201111,28.366,26.671,26.701
20201112,28.8136,26.591,28.0566
20201113,29.0374,26.7912,28.0566
20201116,28.8136,26.2706,27.5522
20201117,29.3731,26.591,27.8359
20201118,29.3731,26.591,27.6783
20201119,29.3731,26.591,27.6783
20201120,29.485,27.6322,28.0566
20201123,30.3242,27.3518,29.0338
20201124,30.4921,,29.0023
20201125,31.3313,27.1917,28.9393
20201126,32.5062,29.0738,29.2545
20201127,32.6741,28.9938,30.0111
20201130,33.0657,28.9537,30.6416
20201201,33.0098,30.3553,30.547
20201202,32.73,29.8748,30.4524
20201203,32.6741,30.075,29.7589
20201204,34.912,28.9537,29.6328
20201207,33.5133,28.5132,29.5698
20201208,33.793,29.3141,29.3176
20201209,33.4573,29.0338,29.4752
20201210,33.6252,28.0326,29.822
20201211,34.0728,28.5933,29.948
20201214,34.0168,28.5933,29.9796
20201215,33.9609,29.2741,29.948
20201216,34.0168,29.2741,29.822
20201217,33.2336,28.7535,29.1915
20201218,33.2336,28.313,29.3806
20201221,33.2895,28.353,29.6959
20201222,34.4085,28.1928,30.6416
20201223,33.849,28.6333,30.5785
20201224,33.4573,27.9125,30.0741
20201225,33.9049,28.353,30.2633
20201228,33.5133,28.2729,30.0426
20201229,33.5692,28.1528,30.0741
20201230,33.9732,28.2329,30.4524
20201231,35.2465,28.7535,30.8623
20210104,35.3044,29.3141,31.7134
20210105,35.2465,29.3141,31.6504
20210106,35.3044,29.9549,31.5243
20210107,37.0406,30.7959,32.1547
20210108,37.0406,30.4354,32.3439
20210111,37.0985,29.7146,32.2808
20210112,37.3879,29.7947,33.4788
20210113,36.9249,29.7947,33.5418
20210114,37.0406,30.5956,33.4157
20210115,39.5872,30.035,33.731
20210118,39.5293,31.0584,33.9832
20210119,37.9088,28.9671,33.2896
20210120,37.9088,29.145,33.4157
20210121,38.8927,29.6345,33.794
20210122,38.6033,29.3675,34.1093
20210125,38.1403,29.3675,34.2353
20210126,37.1564,28.3886,33.6679
20210127,35.5937,27.4987,32.7222
20210128,33.1051,25.5853,30.4524
20210129,34.9571,25.9858,32.1547
20210201,35.5937,25.2294,31.5873
20210202,37.0406,25.6743,33.731
20210203,38.3718,26.4308,34.0462
20210204,38.4875,26.9647,33.731
20210205,39.3557,27.2317,33.731
20210208,38.0824,26.2528,34.0462
20210209,38.8927,26.6533,35.9377
20210217,41.6129,27.7657,37.2617
20210218,42.481,28.6556,37.5769
20210219,42.1337,29.0116,36.9464
20210222,42.3074,29.323,35.9377
20210223,42.1916,29.3675,35.5594
20210224,42.2495,29.1005,35.9377
20210225,44.1015,29.0116,35.5594
20210226,44.8539,28.7001,35.7485
20210301,44.4488,30.0795,35.8746
20210302,44.4488,30.0795,35.8746
20210303,45.6063,30.4354,36.0007
20210304,45.1433,29.5455,34.9919
20210305,46.1851,29.6345,34.9289
20210308,45.7221,29.9015,35.3072
20210309,45.9536,29.5455,34.6767
20210310,46.5902,29.8125,34.6136
20210311,47.4583,30.1685,34.9919
20210312,48.6159,30.9694,34.9919
20210315,48.6737,33.0162,34.6136
20210316,49.2525,33.3722,33.9832
20210317,49.484,33.2387,33.9832
20210318,49.484,32.9272,34.1093
20210319,48.2686,32.3933,35.4333
20210322,48.0371,32.0818,35.6224
20210323,47.9792,32.2153,34.9919
20210324,47.3426,30.6134,34.0462
20210325,47.2268,30.7469,33.6679
20210326,46.8796,31.2364,34.0462
20210329,47.2847,31.6813,34.2353
20210330,48.0371,31.5923,33.5418
20210331,48.3265,31.4588,33.1635
20210401,48.4422,32.6157,33.9832
20210402,48.4422,32.4823,33.8571
20210405,48.4422,31.3254,33.794
20210406,50.9309,31.3254,33.6049
20210407,51.3939,31.3699,33.6049
20210408,51.3939,31.5923,33.2896
20210409,50.6415,31.4588,33.731
20210412,50.8151,31.1474,33.794
20210413,50.9309,30.7024,33.5418
20210414,51.6254,30.7024,33.3527
20210415,51.5097,30.3909,32.5961
20210416,51.0466,29.8125,32.1547
20210419,53.2459,29.501,33.2266
20210420,53.2459,29.7235,32.7852
20210422,52.4357,28.4776,32.2808
20210423,52.9566,28.4776,32.9744
20210426,53.2459,27.4987,32.3439
20210427,52.3778,26.9647,32.1547
20210428,51.9727,27.5877,32.1547
20210429,52.7829,28.1216,33.794
20210504,52.7829,27.7212,32.8483
20210505,54.1141,27.9881,33.2896
20210506,54.5771,27.9881,34.7397
20210507,55.3873,27.6767,35.3702
20210510,58.1654,27.6767,35.7485
20210511,58.339,27.7657,34.6136
20210512,58.9178,28.4776,34.8658
20210513,58.4548,28.4776,34.6767
20210514,57.876,28.5221,35.3072
20210517,58.8599,28.8336,34.8028
20210518,58.6863,28.8336,34.9919
20210519,60.0174,28.8336,34.6767
20210520,60.7119,28.5666,36.8203
20210521,60.7119,29.9015,36.5681
20210524,61.0592,30.0795,37.2617
20210525,61.2907,29.8125,37.2617
20210526,60.1911,29.768,37.2617
20210527,58.339,29.768,37.3247
20210528,58.8599,29.768,37.3878
20210531,58.9757,29.1895,36.6942
20210601,60.1911,28.8336,35.9377
20210602,60.4804,28.4776,35.3072
20210603,60.4804,29.4565,36.442
20210604,61.5801,30.7914,36.1899
20210607,61.5222,31.4143,35.1811
20210608,59.6123,30.4354,35.3072
20210609,60.1911,30.4799,34.9919
20210610,60.9434,32.5713,34.3614
20210611,61.2907,32.6602,34.6136
20210614,61.6958,32.5713,34.9919
20210615,61.5801,32.7492,35.8746
20210616,61.5801,33.5502,35.8746
20210617,61.8116,34.7071,37.8291
20210618,61.8695,34.7071,37.64
20210621,62.4482,33.9951,36.6942
20210622,62.0431,33.1942,36.3159
20210623,60.7698,33.7282,35.8746
20210624,60.7698,32.9272,35.5594
20210625,60.1911,32.7492,35.6224
20210628,61.7537,32.8382,36.1268
20210629,61.4643,33.0162,36.379
20210630,60.7698,32.6602,36.379
20210701,61.2907,32.7492,36.3159
20210702,60.8856,33.1942,35.7485
20210705,59.9595,32.6157,34.5506
20210706,58.7442,32.2153,33.1005
20210707,61.4064,32.0818,33.9832
20210708,61.3486,30.9694,33.4157
20210709,59.3808,30.2574,33.3527
20210712,56.7185,28.2106,32.9744
20210713,56.7185,29.145,32.7222
20210714,56.024,29.234,32.2178
20210715,56.1397,29.5455,32.2808
20210716,56.024,29.679,32.7222
20210719,56.024,29.1895,32.0286
20210720,56.2555,30.0795,32.5961
20210721,56.2555,30.5244,32.9113
20210722,57.7603,31.4143,33.2896
20210723,59.0452,31.4143,32.47
20210726,58.8991,32.4378,32.7852
20210727,59.4837,32.7047,33.2896
20210728,59.9221,32.7047,33.0374
20210729,60.4337,32.7047,33.0374
20210730,60.6529,32.3043,34.6767
20210802,64.7451,32.7492,34.0462
20210803,65.4028,32.9272,34.2353
20210804,64.6721,34.4401,34.0462
20210805,66.1336,34.6181,34.0462
20210806,65.7682,34.8851,34.0462
20210809,66.1336,35.063,35.2441
20210810,65.9874,34.974,35.2441
20210811,65.4028,34.3511,35.5594
20210812,64.3067,34.5291,35.118
20210813,63.0644,36.9319,35.118
20210816,64.2336,38.5337,35.6224
20210817,64.5259,38.1778,35.6855
20210818,64.1605,38.9342,38.1444
20210819,64.3067,38.9787,38.2705
20210820,62.1144,36.8429,38.6487
20210823,60.2875,35.597,36.5681
20210824,59.9952,36.6649,36.5051
20210825,59.9221,37.1989,36.6312
20210826,60.6529,37.2434,39.1531
20210827,60.5067,37.9553,40.9815
20210830,61.3106,40.5806,40.9815
20210831,62.2606,40.4916,41.612
20210901,61.3837,40.9365,41.9273
20210906,61.8221,40.3581,41.7381
20210907,61.3106,39.6017,40.3511
20210908,61.3837,39.6017,40.5402
20210909,61.5298,40.0466,41.612
20210910,61.676,41.6485,41.549
20210913,62.7721,41.7375,40.6663
20210914,63.2836,41.96,40.9185
20210915,63.8682,42.1824,40.9815
20210916,64.0875,42.4494,40.9815
20210917,64.2336,42.8054,42.1795
20210920,63.5028,42.4049,41.3598
20210921,62.4798,42.2714,41.612
20210922,62.4798,42.7164,42.873
20210923,62.7721,42.7164,42.2425
